Country Name;Country Code;avg_GDP_capita;max_year;GDP_capita_max_year;min_year;GDP_capita_min_year;%_change
Pacific island small states;PSS;3767;2019;4223.9584159999995;2010;2905.02252;4.246947685952018
Pakistan;PAK;1277;2019;1482.305667;2010;987.4097230000001;4.617535614097568
Palau;PLW;13811;2018;16932.33286;2010;10219.9276;6.514472831749685
Panama;PAN;12730;2019;15731.01603;2010;8082.028459;7.680577881106854
Papua New Guinea;PNG;2625;2019;2920.7837210000002;2010;1949.352518;4.595286268859899
Paraguay;PRY;5452;2019;6102.943233;2010;4355.934939;3.8181068401853757
Peru;PER;6397;2019;6977.6957840000005;2010;5082.354757;3.584343330113926
Philippines;PHL;2913;2019;3485.084218;2010;2217.474009;5.151916668915124
Poland;POL;13769;2019;15595.227030000002;2010;12431.81589;2.550948442613299
Portugal;PRT;21729;2019;23461.57186;2010;19242.366469999997;2.2272113238485103
Post-demographic dividend;PST;42515;2019;45578.12637;2010;39558.90854;1.5861930215724573
Pre-demographic dividend;PRE;1562;2019;1856.5260050000002;2010;1396.887209;3.2111537654071265
Puerto Rico;PRI;29515;2019;32873.71927;2010;26435.74879;2.451299061832213
Qatar;QAT;71884;2019;85076.14792999999;2010;57163.06099;4.517265311583074
Romania;ROU;10011;2019;12919.52964;2010;8209.919456;5.166796527157014
Russian Federation;RUS;12217;2019;15974.64463;2010;8704.898412999999;6.978471568703748
Rwanda;RWA;735;2019;801.656187;2010;612.3436991000001;3.038424752717961
Samoa;WSM;4044;2019;4315.920675;2010;3566.3623780000003;2.1422291308294206
San Marino;SMR;50029;2018;60239.340710000004;2010;42650.31726;4.410636432236026
Sao Tome and Principe;STP;1617;2019;2001.1369780000002;2010;1094.710717;6.932225426909255
Saudi Arabia;SAU;22535;2019;25243.3587;2010;19262.54768;3.050038143260836
Senegal;SEN;1352;2019;1465.591006;2010;1219.248662;2.0657558149277833
Serbia;SRB;6419;2019;7402.354559;2010;5585.117808;3.179414843242112
Seychelles;SYC;14398;2019;17401.72151;2010;10804.68447;5.438153509609855
Sierra Leone;SLE;548;2019;716.8353047;2010;401.8350014;6.642466311114936
Singapore;SGP;57601;2019;66188.7794;2010;47236.960230000004;3.819288391621023
Slovak Republic;SVK;17856;2019;19428.11621;2010;16309.07324;1.9634686353730002
Slovenia;SVN;23676;2019;26054.5421;2010;20881.76677;2.48954810311528
Small states;SST;12656;2019;13965.96173;2010;11122.80301;2.5614298471585473
Solomon Islands;SLB;1913;2019;2137.6907;2010;1290.398786;5.768873826052823
South Africa;ZAF;6562;2019;8007.412845999999;2010;5272.918425;4.7514708511684045
South Asia;SAS;1578;2019;1959.9171649999998;2010;1257.4994390000002;5.054445588286027
South Asia (IDA & IBRD);TSA;1578;2019;1959.9171649999998;2010;1257.4994390000002;5.054445588286027
South Sudan;SSD;1409;2015;1779.469334;2010;1119.651333;9.708819343841535
Spain;ESP;28934;2019;31636.446310000003;2010;25732.01836;2.3218078014141996
Sri Lanka;LKA;3652;2019;4080.567125;2010;2799.648876;4.274871223216148
St. Kitts and Nevis;KNA;17800;2019;19896.4957;2010;15508.768109999999;2.8068714838463293
St. Lucia;LCA;10031;2019;11611.41545;2010;8540.414378;3.472016643440834
St. Vincent and the Grenadines;VCT;6828;2019;7463.537831000001;2010;6242.195332;2.0053716844806724
Sub-Saharan Africa;SSF;1676;2019;1885.4725629999998;2010;1504.238409;2.541671793178657
Sub-Saharan Africa (IDA & IBRD countries);TSS;1676;2019;1885.4725629999998;2010;1504.238409;2.541671793178657
Sub-Saharan Africa (excluding high income);SSA;1665;2019;1873.491817;2010;1492.851119;2.555623204031998
Sudan;SDN;1295;2019;1909.738755;2010;441.5056034;17.671383651918383
Suriname;SUR;7718;2019;9472.0076;2010;5539.068872;6.142539663559465
Sweden;SWE;55631;2019;61126.9432;2010;51545.48361;1.912368635808348
Switzerland;CHE;82579;2019;88415.62806;2010;74605.72102000001;1.9049338945858585
Tajikistan;TJK;895;2019;1104.171689;2010;749.552711;4.398128724626971
Tanzania;TZA;950;2019;1122.1218099999999;2010;743.4037847;4.681119747819218
Thailand;THA;6208;2019;7808.192916;2010;5076.340174;4.900548136527116
Timor-Leste;TLS;1173;2019;1358.201692;2010;806.4078617;5.963577579654844
Togo;TGO;610;2019;678.9556381;2010;534.0443668;2.703417608581682
Tonga;TON;4214;2018;4597.742305;2010;3553.220614;3.273835503036704
Trinidad and Tobago;TTO;18040;2019;20270.85937;2010;16176.947369999998;2.538315001962954
Tunisia;TUN;3888;2019;4305.474165;2010;3317.541013;2.9386097563363522
Turkey;TUR;10903;2019;12519.39143;2010;9042.492983;3.6810647792371753
Turkmenistan;TKM;6490;2018;7962.239098;2010;4439.200382;7.5762269811661564
Turks and Caicos Islands;TCA;23600;2018;27142.2278;2010;21009.88581;3.253010941479051
Tuvalu;TUV;3481;2019;4059.029996;2010;3022.176507;3.331707027909081
Uganda;UGA;797;2019;876.3543005000001;2010;730.6250405000001;2.041334562280217
Ukraine;UKR;3123;2019;4029.7112520000005;2010;2124.662319;7.371028318421469
United Arab Emirates;ARE;40462;2019;43839.35635;2010;33893.303510000005;2.9003131683031924
United Kingdom;GBR;42655;2019;47425.60768;2010;39435.8399;2.071012612300316
United States;USA;56112;2019;65280.682239999995;2010;48467.51578;3.3642686190527016
Upper middle income;UMC;7896;2019;9040.045782;2010;6089.423314;4.487912217044809
Uruguay;URY;15700;2019;17322.147390000002;2010;11992.01663;4.170680406792759
Uzbekistan;UZB;2073;2019;2615.025134;2010;1529.082864;6.14361431559054
Vanuatu;VUT;3050;2019;3264.537017;2010;2801.939848;1.7123394114879398
Venezuela;VEN;13255;2014;16054.49051;2010;10955.349909999999;10.025301825360522
Vietnam;VNM;2042;2019;2715.2760359999997;2010;1317.8907060000001;8.363150063308321
Virgin Islands (U.S.);VIR;36512;2017;40043.19017;2010;33573.097030000004;2.5495820878703945
West Bank and Gaza;PSE;2943;2018;3254.4858870000003;2010;2354.125987;4.1313710020112415
World;WLD;10654;2019;11435.60987;2010;9551.335653;2.0207138868925334
Yemen;YEM;1302;2018;1673.146354;2010;882.3957585;8.326276385869068
Zambia;ZMB;1557;2019;1878.9070010000003;2010;1280.578898;4.35178506993088
Zimbabwe;ZWE;1382;2019;1683.740577;2010;948.3318545;6.5863643761992385
