Country Name;Country Code;avg_GDP_capita;max_year;GDP_capita_max_year;min_year;GDP_capita_min_year;%_change
IDA only;IDX;1035;2019;1185.8418589999999;2010;836.6672824;3.9514240858590455
IDA total;IDA;1301;2019;1422.525515;2010;1074.340129;3.1683474574110138
Iceland;ISL;56547;2019;72968.70422999999;2010;43024.92349;6.045129129516469
India;IND;1671;2019;2104.1459;2010;1357.563719;4.989575753936504
Indonesia;IDN;3634;2019;4135.569263;2010;3122.362815;3.171875608500141
Iran;IRN;6199;2017;7927.846901999999;2010;4904.326877;7.101745651515934
Iraq;IRQ;5820;2019;7076.5546079999995;2010;4657.280425999999;4.758125638069077
Ireland;IRL;60886;2019;78660.95646;2010;48715.17686;5.468230559553189
Isle of Man;IMN;79298;2017;88974.22865;2010;69766.52119;3.5352332475984793
Israel;ISR;36986;2019;43641.39774;2010;30693.593080000002;3.988050307655411
Italy;ITA;34201;2019;38599.062210000004;2010;30230.2263;2.7525993783949154
Jamaica;JAM;5060;2019;5582.2637780000005;2010;4704.0544549999995;1.920085496580648
Japan;JPN;41092;2019;48603.47665;2010;34524.469860000005;3.8734316810141722
Jordan;JOR;4040;2019;4330.329346;2010;3690.113268;1.793521019432065
Kazakhstan;KAZ;10681;2019;13890.631769999998;2010;7714.841844;6.752294659181346
Kenya;KEN;1343;2019;1816.546916;2010;951.6879610999999;7.447093349740541
Kiribati;KIR;1652;2019;1788.505421;2010;1516.811869;1.8476351051648576
Korea; Rep.;28482;2019;33340.26515;2010;23087.22564;4.167690022968151
Kosovo;XKX;3886;2019;4419.914327;2010;3286.557443;3.346782013264016
Kuwait;KWT;38595;2019;51979.105169999995;2010;27653.066769999998;7.263989077541955
Kyrgyz Republic;KGZ;1185;2019;1309.392992;2010;880.0377751;4.5139591408922985
Lao PDR;LAO;1987;2019;2542.486528;2010;1140.599205;9.315217133808584
Late-demographic dividend;LTE;8432;2019;10000.48201;2010;6192.389209;5.470058653827037
Latin America & Caribbean;LCN;9500;2019;10417.35374;2010;8577.358726;2.1828953434888776
Latin America & Caribbean (excluding high income);LAC;9101;2019;10062.26923;2010;8142.7700239999995;2.37967617860122
Latin America & the Caribbean (IDA & IBRD countries);TLA;9384;2019;10334.43067;2010;8417.027467;2.306467699373038
Latvia;LVA;14889;2019;17836.36489;2010;11348.40623;5.1523668990391736
Least developed countries: UN classification;LDC;986;2019;1069.681699;2010;813.2670307999999;3.09191330814238
Lebanon;LBN;7789;2019;8024.803271;2010;7629.891117;0.5622813382930802
Lesotho;LSO;1184;2019;1308.6900660000001;2010;1043.569792;2.5472274573229647
Liberia;LBR;663;2019;721.9300553999999;2010;513.4456986;3.8590896134763186
Libya;LBY;7717;2019;13025.28139;2010;4035.1943159999996;13.906094735346809
Liechtenstein;LIE;163318;2017;178845.63100000002;2010;141200.38;3.4339737834960804
Lithuania;LTU;15757;2019;19455.454130000002;2010;11957.084209999999;5.5578840625287285
Low & middle income;LMY;4507;2019;5080.365496;2010;3576.05292;3.9784757621935674
Low income;LIC;800;2019;883.9699919;2010;734.2035212000001;2.0840509182012745
Lower middle income;LMC;1892;2019;2176.558227;2010;1542.652453;3.8989970034359223
Luxembourg;LUX;110457;2019;118823.6484;2010;101376.4966;1.7800933643757233
Macao SAR; China;78048;2019;93777.1068;2010;52253.15531;6.713773886804808
Madagascar;MDG;510;2019;541.0662;2010;467.2353994;1.6434522868312929
Malawi;MWI;397;2019;534.9512647;2010;315.7773264;6.032018880814616
Malaysia;MYS;10536;2019;11414.83766;2010;9040.566251;2.6248838212062697
